BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NSB,14Dec2015,Eastern,N,906,"1,009",0,"-1,009",,,,,,,,,,-552,-457,,,,,,,,,,,,,,,
NSB,15Dec2015,Eastern,N,"1,009","1,001",0,"-1,001",,,,,,,,,,-93,-908,,,,,,,,,,,,,,,
NSB,16Dec2015,Eastern,N,"1,001","1,061",0,"-1,061",,,,,,,,,,0,"-1,061",,,,,,,,,,,,,,,
NSB,17Dec2015,Eastern,N,"1,061","1,074",0,"-1,074",,,,,,,,,,0,"-1,074",,,,,,,,,,,,,,,
NSB,18Dec2015,Eastern,N,"1,074",929,0,-929,,,,,,,,,,-240,-689,,,,,,,,,,,,,,,
NSB,19Dec2015,Eastern,N,929,857,0,-857,,,,,,,,,,-484,-373,,,,,,,,,,,,,,,
NSB,20Dec2015,Eastern,N,857,856,0,-856,,,,,,,,,,-440,-416,,,,,,,,,,,,,,,
NSB,21Dec2015,Eastern,N,856,918,0,-918,,,,,,,,,,-436,-482,,,,,,,,,,,,,,,
NSB,22Dec2015,Eastern,N,918,"1,028",0,"-1,028",,,,,,,,,,-544,-484,,,,,,,,,,,,,,,
NSB,23Dec2015,Eastern,N,"1,028","1,071",0,"-1,071",,,,,,,,,,-453,-618,,,,,,,,,,,,,,,
NSB,24Dec2015,Eastern,N,"1,071","1,107",0,"-1,107",,,,,,,,,,-517,-590,,,,,,,,,,,,,,,
NSB,25Dec2015,Eastern,N,"1,107","1,079",0,"-1,079",,,,,,,,,,-490,-589,,,,,,,,,,,,,,,
NSB,26Dec2015,Eastern,N,"1,079","1,072",0,"-1,072",,,,,,,,,,-379,-693,,,,,,,,,,,,,,,
NSB,27Dec2015,Eastern,N,"1,072","1,078",0,"-1,078",,,,,,,,,,-514,-564,,,,,,,,,,,,,,,
NSB,28Dec2015,Eastern,N,"1,078","1,126",0,"-1,126",,,,,,,,,,-412,-714,,,,,,,,,,,,,,,
NSB,29Dec2015,Eastern,N,"1,126","1,126",0,,,,,,,,,,,-632,-541,,,,,,,,,,,,,,,
NSB,30Dec2015,Eastern,N,"1,173","1,165",0,"-1,165",,,,,,,,,,-461,-704,,,,,,,,,,,,,,,
NSB,31Dec2015,Eastern,N,"1,165","1,198",0,"-1,198",,,,,,,,,,-491,-707,,,,,,,,,,,,,,,
NSB,01Jan2016,Eastern,N,"1,198","1,125",0,"-1,125",,,,,,,,,,-560,-565,,,,,,,,,,,,,,,
