BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
HST,09Feb2021,Eastern,N,"1,638","1,493",0,"-1,493",,0,,,,,,,,"-1,493",,,,,0,,,0,358,0,358,0,"1,493",,0.53
HST,10Feb2021,Eastern,N,"1,585","1,462",0,"-1,462",,0,,,,,,,,"-1,462",,,,,0,,,0,347,0,347,0,"1,462",,0.52
HST,11Feb2021,Eastern,N,"1,559","1,503",0,"-1,503",,0,,,,,,,,"-1,503",,,,,0,,,0,358,0,358,0,"1,503",,0.53
HST,12Feb2021,Eastern,N,"1,578","1,474",0,"-1,474",,0,,,,,,,,"-1,474",,,,,0,,,0,355,0,355,0,"1,474",,0.53
HST,13Feb2021,Eastern,N,"1,553","1,506",0,"-1,506",,0,,,,,,,,"-1,506",,,,,0,,,0,369,0,369,0,"1,506",,0.54
HST,14Feb2021,Eastern,N,"1,578","1,615",0,"-1,615",,0,,,,,,,,"-1,615",,,,,0,,,0,407,0,407,0,"1,615",,0.56
HST,15Feb2021,Eastern,N,"1,680","1,666",0,"-1,666",,0,,,,,,,,"-1,666",,,,,0,,,0,429,0,429,0,"1,666",,0.57
HST,16Feb2021,Eastern,N,"1,746","1,536",0,"-1,536",,0,,,,,,,,"-1,536",,,,,0,,,0,412,0,412,0,"1,536",,0.59
HST,17Feb2021,Eastern,N,"1,712","1,568",0,"-1,568",,0,,,,,,,,"-1,568",,,,,0,,,0,440,0,440,0,"1,568",,0.62
HST,18Feb2021,Eastern,N,"1,684","1,605",0,"-1,605",,0,,,,,,,,"-1,605",,,,,0,,,0,458,0,458,0,"1,605",,0.63
HST,19Feb2021,Eastern,N,"1,682","1,587",0,"-1,587",,0,,,,,,,,"-1,587",,,,,0,,,0,462,0,462,0,"1,587",,0.64
HST,20Feb2021,Eastern,N,"1,636","1,253",0,"-1,253",,0,,,,,,,,"-1,253",,,,,0,,,0,324,0,324,0,"1,253",,0.57
