BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,MISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GLHB,09Jun2020,Central,Y,,,"6,714","6,684","6,714",,,,,,,,,"4,550","2,134",2.25,,,"6,857",,,,"6,857",0,"6,826",,"6,714",30,2.25,
GLHB,10Jun2020,Central,Y,,,"7,182","7,154","7,182",,,,,,,,,"4,604","2,550",2.25,,,"7,340",,,,"7,340",0,"7,311",,"7,182",28,2.25,
GLHB,11Jun2020,Central,Y,,,"4,726","4,712","4,726",,,,,,,,,"3,916",796,2.25,,,"4,815",,,,"4,815",168,"4,970",,"4,726",14,2.25,
GLHB,12Jun2020,Central,Y,,,"5,021","5,012","5,021",,,,,,,,,"3,767","1,245",2.24,,,"5,108",,,,"5,108",144,"5,244",,"5,021",9,2.24,
GLHB,13Jun2020,Central,Y,,,"2,656","2,647","2,656",,,,,,,,,"3,422",-775,2.24,,,"2,701",,,,"2,701",321,"3,014",,"2,656",9,2.24,
GLHB,14Jun2020,Central,Y,,,"3,613","3,596","3,613",,,,,,,,,"3,334",262,2.24,,,"3,671",,,,"3,671",213,"3,867",,"3,613",17,2.24,
GLHB,15Jun2020,Central,Y,,,"5,002","4,981","5,002",,,,,,,,,"3,543","1,438",2.24,,,"5,081",,,,"5,081",58,"5,118",,"5,002",21,2.24,
GLHB,16Jun2020,Central,Y,,,"7,409","7,369","7,409",,,,,,,,,"4,193","3,176",2.24,,,"7,531",,,,"7,531",0,"7,490",,"7,409",40,2.24,
GLHB,17Jun2020,Central,Y,,,"7,051","7,017","7,051",,,,,,,,,"3,959","3,058",2.24,,,"7,175",,,,"7,175",0,"7,141",,"7,051",34,2.24,
GLHB,18Jun2020,Central,Y,,,"7,810","7,776","7,810",,,,,,,,,"4,265","3,511",2.24,,,"7,945",,,,"7,945",0,"7,910",,"7,810",34,2.24,
GLHB,19Jun2020,Central,Y,,,"8,681","8,644","8,681",,,,,,,,,"4,290","4,354",2.24,,,"8,825",,,,"8,825",0,"8,788",,"8,681",37,2.24,
GLHB,20Jun2020,Central,Y,,,"7,666","7,627","7,666",,,,,,,,,"4,641","2,986",2.24,,,"7,787",,,,"7,787",0,"7,747",,"7,666",39,2.24,
GLHB,21Jun2020,Central,Y,,,"7,011","6,970","7,011",,,,,,,,,"3,978","2,992",2.25,,,"7,144",,,,"7,144",0,"7,102",,"7,011",41,2.25,
GLHB,22Jun2020,Central,Y,,,"7,544","7,505","7,544",,,,,,,,,"4,412","3,093",2.24,,,"7,676",,,,"7,676",0,"7,636",,"7,544",39,2.24,
GLHB,23Jun2020,Central,Y,,,"5,877","5,852","5,877",,,,,,,,,"4,014","1,838",2.24,,,"5,977",,,,"5,977",6,"5,957",,"5,877",25,2.24,
GLHB,24Jun2020,Central,Y,,,"4,873","4,866","4,873",,,,,,,,,"3,469","1,397",2.24,,,"4,951",,,,"4,951",179,"5,124",,"4,873",7,2.24,
GLHB,25Jun2020,Central,Y,,,"5,203","5,184","5,203",,,,,,,,,"3,382","1,802",2.24,,,"5,293",,,,"5,293",131,"5,405",,"5,203",19,2.24,
GLHB,26Jun2020,Central,Y,,,"5,426","5,412","5,426",,,,,,,,,"3,660","1,752",2.24,,,"5,518",,,,"5,518",84,"5,588",,"5,426",14,2.24,
GLHB,27Jun2020,Central,Y,,,"5,387","5,378","5,387",,,,,,,,,"3,376","2,002",2.24,,,"5,483",,,,"5,483",0,"5,473",,"5,387",9,2.24,
GLHB,28Jun2020,Central,Y,,,"6,235","6,202","6,235",,,,,,,,,"3,958","2,244",2.25,,,"6,359",,,,"6,359",10,"6,336",,"6,235",33,2.25,
GLHB,29Jun2020,Central,Y,,,"8,500","8,460","8,500",,,,,,,,,"4,513","3,947",2.25,,,"8,679",,,,"8,679",0,"8,638",,"8,500",40,2.25,
GLHB,30Jun2020,Central,Y,,,"8,214","8,178","8,214",,,,,,,,,"4,044","4,134",2.25,,,"8,378",,,,"8,378",0,"8,341",,"8,214",36,2.25,
GLHB,01Jul2020,Central,Y,,,"7,866","7,829","7,866",,,,,,,,,"3,655","4,174",2.24,,,"8,006",,,,"8,006",0,"7,968",,"7,866",37,2.24,
GLHB,02Jul2020,Central,Y,,,"7,177","7,141","7,177",,,,,,,,,"3,942","3,199",2.24,,,"7,301",,,,"7,301",0,"7,264",,"7,177",36,2.24,
