BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,EPE,GRID,PSCO,SRP,SWPP,TEPC,WACM,Subregion Frep,Subregion Jica,Subregion KAFB,Subregion KCEC,Subregion LAC,Subregion NTUA,Subregion PNM,Subregion TSGT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PNM,22Oct2018,Arizona,N,"34,512","33,929","22,345","-11,584","11,836","6,300",,,48,"1,000","3,161",0,,"-6,539",319,"-2,080","-3,145",,0,482,-621,"1,985",62,"1,165",708,"1,629",317,"21,500","6,358",2.32,0.92,,"12,478","2,629",,28,"15,135","6,692","1,211","20,616","22,345","33,929",1.49,1.34
PNM,23Oct2018,Arizona,N,"34,543","34,568","20,465","-14,103","12,702","4,435",,,48,373,"2,907",0,,"-7,971",66,"-2,267","-3,229",,0,777,"-1,479","1,821",64,"1,166",718,"1,602",338,"22,076","6,584",2.32,0.92,,"13,385","1,850",,22,"15,258","7,182",919,"21,521","20,465","34,568",1.64,1.37
PNM,24Oct2018,Arizona,N,"34,462","34,861","30,767","-4,094","20,673","2,200",,,48,652,"7,181",13,,"-3,674","-1,537","-2,042","-3,148",,0,"3,618","2,689","1,766",63,"1,173",757,"1,635",329,"22,451","6,492",2.32,0.92,,"21,771",,,52,"22,747","5,594","4,783","23,557","30,783","34,877",1.63,1.49
PNM,25Oct2018,Arizona,N,"34,263","34,079","30,457","-3,622","21,916","1,040",,,23,"1,258","6,177",43,,"-3,523","-3,576","-1,407","-3,017",,0,"4,618","3,283","1,887",61,"1,158",690,"1,657",339,"21,630","6,444",2.33,0.92,,"23,124",,,50,"23,617","5,773","5,506","23,884","30,484","34,106",1.71,1.54
PNM,26Oct2018,Arizona,N,"33,915","33,706","30,253","-3,453","21,402","1,114",,,16,"1,420","6,271",30,,"-4,179","-3,614",-251,"-3,305",,0,"5,336","2,560","1,946",57,"1,124",667,"1,641",325,"21,267","6,444",2.33,0.92,,"22,588",,,51,"23,117","5,901","5,517","23,501","30,287","33,740",1.68,1.54
PNM,27Oct2018,Arizona,N,"33,001","32,910","30,020","-2,890","21,344",766,,,24,"1,408","6,478",0,,"-3,078","-3,571","-2,242","-2,978",,0,"5,755","3,224","1,963",48,"1,039",652,"1,600",301,"20,737","6,345",2.32,0.92,,"22,498",,,53,"22,886","5,740","6,210","22,415","30,057","32,947",1.68,1.50
PNM,28Oct2018,Arizona,N,"32,839","32,347","24,425","-7,922","17,065","1,109",,,24,"1,406","4,821",0,,"-5,033","-3,484","-2,742","-3,044",,0,"5,067","1,314","1,943",51,"1,048",644,"1,594",361,"20,235","6,335",2.32,0.92,,"17,978",,,42,"18,492","6,946","5,059","20,379","24,452","32,374",1.67,1.39
PNM,29Oct2018,Arizona,N,"34,339","33,568","28,671","-4,897","13,169","4,546",,,24,"1,097","9,818",17,,"-1,807",834,"-5,896","-3,065",,0,"5,099",-62,"1,951",63,"1,169",676,"1,676",470,"21,262","6,230",2.32,0.92,,"13,880","1,898",,73,"15,851","4,252","3,659","16,443","28,671","33,568",1.22,1.08
PNM,30Oct2018,Arizona,N,"34,294","33,818","27,769","-6,049","13,438","6,273",,,24,690,"7,296",48,,"-4,736","2,207","-4,138","-2,958",,0,"2,688",888,"1,943",64,"1,165",712,"1,675",487,"21,315","6,395",2.32,0.92,,"14,148","2,616",,54,"16,818","4,601","3,357","18,062","27,769","33,818",1.34,1.18
PNM,31Oct2018,Arizona,N,"35,541","34,180","29,878","-4,302","13,341","8,877",,,24,554,"7,048",34,,"-5,281","5,086","-3,315","-2,959",,-152,"1,525",794,"1,431",66,"1,153",805,"1,722",472,"22,150","6,331",2.32,0.92,,"14,034","3,694",,51,"17,778","5,275","4,496","18,557","29,878","34,180",1.31,1.20
PNM,01Nov2018,Arizona,N,"35,893","34,717","33,543","-1,174","12,625","12,034",,,24,"1,282","7,539",39,,"-6,450","7,940","-1,250","-3,202",,-330,"1,841",277,"1,810",64,"1,156",824,"1,695",518,"21,885","6,710",2.32,0.92,,"13,278","4,998",,59,"18,335","6,007","5,846","18,496","33,543","34,717",1.21,1.17
PNM,02Nov2018,Arizona,N,"34,940","34,582","38,712","4,130","14,750","11,830",,,24,"1,330","10,731",47,,"-1,983","7,853","-4,974","-3,085",,-337,"3,796","2,860","1,921",63,"1,119",786,"1,688",511,"21,928","6,521",2.32,0.92,,"15,549","4,929",,81,"20,559","5,424","7,944","18,038","38,712","34,582",1.17,1.15
