BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPL,GVL,NSB,SEC,SOCO,TAL,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
FPC,27Oct2015,Eastern,N,"115,131","129,253","89,594","-39,659",,,,,,,,,,"-8,339","-11,800",199,331,"-14,487","-6,441","-3,030","3,908",,,,,,,,,,,,,,,
FPC,28Oct2015,Eastern,N,"115,408","140,140","96,908","-43,232",,,,,,,,,,"-9,807","-11,487",269,343,"-15,198","-5,963","-3,816","2,427",,,,,,,,,,,,,,,
FPC,29Oct2015,Eastern,N,"111,252","140,350","100,998","-39,352",,,,,,,,,,"-8,694","-15,105",254,329,"-14,189","-5,841","-3,779","7,673",,,,,,,,,,,,,,,
FPC,30Oct2015,Eastern,N,"106,401","134,701","92,802","-41,894",,,,,,,,,,"-9,552","-12,644",103,289,"-13,959","-6,775","-3,543","4,187",,,,,,,,,,,,,,,
FPC,31Oct2015,Eastern,N,"103,931","133,389","97,223","-36,160",,,,,,,,,,"-9,210","-11,599",246,477,"-11,909","-5,320","-3,038","4,193",,,,,,,,,,,,,,,
FPC,01Nov2015,Eastern,N,,"151,775","109,475","-42,300",,,,,,,,,,"-13,294","-9,416",476,469,"-12,524","-6,842","-3,189","2,020",,,,,,,,,,,,,,,
FPC,02Nov2015,Eastern,N,"125,060","161,158","118,895","-42,263",,,,,,,,,,"-12,335","-10,883",417,534,"-12,701","-7,209","-2,258","2,172",,,,,,,,,,,,,,,
FPC,03Nov2015,Eastern,N,"124,178","163,119","120,648","-42,471",,,,,,,,,,"-15,563","-8,667",688,453,"-11,056","-8,190","-1,882","1,746",,,,,,,,,,,,,,,
FPC,04Nov2015,Eastern,N,"124,252","158,542","111,455","-47,087",,,,,,,,,,"-16,186","-10,491",557,434,"-12,939","-8,403","-1,902","1,843",,,,,,,,,,,,,,,
FPC,05Nov2015,Eastern,N,"124,860","160,207","116,135","-44,072",,,,,,,,,,"-14,593","-10,830",169,674,"-9,633","-7,961","-1,619",-279,,,,,,,,,,,,,,,
FPC,06Nov2015,Eastern,N,"122,483","153,615","108,158","-45,457",,,,,,,,,,"-14,410","-10,187",310,633,"-10,358","-8,564","-1,478","-1,403",,,,,,,,,,,,,,,
