BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,MISO,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AEC,18Jul2020,Central,N,"32,682","16,554","22,149","5,595","3,600","18,408",,,34,,,104,,"1,977","3,618",2.25,0.90,,"3,669","7,532",,1,"11,202",14,"2,829","8,386","22,146","16,551",1.12,1.12
AEC,19Jul2020,Central,N,"33,257","16,424","21,183","4,759","3,495","17,571",,,12,,,106,,"1,982","2,777",2.24,0.90,,"3,559","7,183",,1,"10,743",18,"2,426","8,335","21,184","16,425",1.12,1.12
AEC,20Jul2020,Central,N,"33,941","16,915","22,588","5,671","3,715","18,765",,,0,,,106,,"1,702","3,969",2.25,0.90,,"3,786","7,669",,1,"11,456",17,"2,865","8,609","22,586","16,915",1.12,1.12
AEC,21Jul2020,Central,N,"33,713","16,474","23,324","6,850","3,804","19,376",,,37,,,108,,"1,274","5,576",2.25,0.90,,"3,874","7,916",,1,"11,790",0,"3,450","8,341","23,325","16,475",1.11,1.12
AEC,22Jul2020,Central,N,"33,407","16,135","20,992","4,857","3,929","16,938",,,21,,,108,,"1,328","3,529",2.24,0.90,,"3,999","6,912",,1,"10,911",2,"2,507","8,407","20,996","16,139",1.15,1.15
AEC,23Jul2020,Central,N,"32,651","15,012","19,030","4,018","3,663","15,255",,,0,,,109,,"1,636","2,382",2.24,0.90,,"3,730","6,234",,1,"9,964",14,"2,109","7,870","19,027","15,009",1.15,1.16
AEC,24Jul2020,Central,N,"30,877","14,550","19,214","4,663","3,696","15,398",,,6,,,111,,"1,548","3,115",2.24,0.90,,"3,762","6,296",,1,"10,058",12,"2,438","7,633","19,211","14,548",1.15,1.16
AEC,25Jul2020,Central,N,"30,809","14,327","18,408","4,081","3,673","14,584",,,44,,,110,,921,"3,160",2.24,0.90,,"3,739","5,960",,1,"9,700",10,"2,148","7,562","18,411","14,330",1.16,1.16
AEC,26Jul2020,Central,N,"30,108","14,165","17,971","3,804","3,664","14,195",,,2,,,112,,181,"3,623",2.24,0.90,,"3,730","5,802",,1,"9,533",161,"2,143","7,550","17,973","14,169",1.17,1.17
AEC,27Jul2020,Central,N,"29,348","14,863","20,049","5,182","3,825","16,109",,,6,,,111,,"1,109","4,073",2.24,0.90,,"3,895","6,581",,1,"10,476",1,"2,697","7,780","20,051","14,869",1.15,1.15
AEC,28Jul2020,Central,N,"27,763","14,271","19,358","5,086","3,713","15,500",,,30,,,111,,874,"4,212",2.25,0.90,,"3,781","6,332",,1,"10,114",22,"2,672","7,464","19,354","14,268",1.15,1.15
AEC,29Jul2020,Central,N,"27,505","14,119","17,580","3,461","3,723","13,683",,,61,,,111,,"1,302","2,159",2.25,0.90,,"3,792","5,584",,1,"9,377",3,"1,846","7,534","17,578","14,117",1.18,1.18
AEC,30Jul2020,Central,N,"29,253","16,170","19,652","3,481","3,746","15,764",,,31,,,113,,-318,"3,798",2.25,0.90,,"3,815","6,443",,1,"10,259",186,"1,990","8,455","19,654","16,174",1.15,1.15
AEC,31Jul2020,Central,N,,"16,819","21,054","4,235","3,880","17,050",,,11,,,110,,-260,"4,495",2.24,0.90,,"3,946","6,968",,1,"10,914",171,"2,354","8,731","21,051","16,816",1.14,1.14
AEC,01Aug2020,Central,N,"30,855","16,347","20,639","4,292","3,363","18,482",,,28,,,103,,-624,"4,916",2.24,0.90,,"3,419","7,548",,1,"10,967",353,"2,486","8,834","21,976","17,684",1.10,1.10
AEC,02Aug2020,Central,N,"31,660","16,256","18,458","2,202","2,161","18,702",,,42,,,105,,"-1,107","3,309",2.24,0.90,,"2,196","7,653",,1,"9,850",559,"1,525","8,884","21,010","18,808",1.03,1.04
AEC,03Aug2020,Central,N,"32,691","16,896","19,874","2,978",-43,"20,060",,,24,,,104,,-779,"3,757",,0.90,,,"8,198",,1,"8,198",414,"1,542","7,070","20,188","17,210",0.90,0.91
