BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AVRN,04Dec2018,Pacific,Y,,,"1,901","1,901",,,,,0,0,"1,901",,,"1,901",,,,,,,,13,13,0,13,,"1,901",0,0.01,
AVRN,05Dec2018,Pacific,Y,,,"1,722","1,722",,,,,0,0,"1,722",,,"1,722",,,,,,,,11,11,0,11,,"1,722",0,0.01,
AVRN,06Dec2018,Pacific,Y,,,451,451,,,,,0,0,451,,,451,,,,,,,,3,3,6,3,,495,44,0.01,
AVRN,07Dec2018,Pacific,Y,,,220,220,,,,,0,0,220,,,220,,,,,,,,2,2,6,2,,263,43,0.01,
AVRN,08Dec2018,Pacific,Y,,,359,359,,,,,0,0,359,,,359,,,,,,,,3,3,10,3,,439,80,0.01,
AVRN,09Dec2018,Pacific,Y,,,-51,-51,,,,,0,0,-51,,,-51,,,,,,,,0,0,13,0,,55,106,0.01,
AVRN,10Dec2018,Pacific,Y,,,"3,705",,,,,,0,0,"3,705",,,"13,053",,,,,,,,25,25,0,87,,"3,705","-9,348",0.01,
AVRN,11Dec2018,Pacific,Y,,,"9,100","9,100",,,,,0,0,"9,100",,,"9,100",,,,,,,,60,60,0,60,,"9,100",0,0.01,
AVRN,12Dec2018,Pacific,Y,,,"15,034","15,034",,,,,0,0,"15,034",,,"15,034",,,,,,,,100,100,0,100,,"15,034",0,0.01,
AVRN,13Dec2018,Pacific,Y,,,"5,479","5,479",,,,,0,0,"5,479",,,"5,479",,,,,,,,36,36,0,36,,"5,479",0,0.01,
AVRN,14Dec2018,Pacific,Y,,,"5,297","5,297",,,,,0,0,"5,297",,,"5,297",,,,,,,,35,35,4,35,,"5,327",30,0.01,
AVRN,15Dec2018,Pacific,Y,,,"3,251","3,251",,,,,0,0,"3,251",,,"3,251",,,,,,,,22,22,0,22,,"3,254",3,0.01,
