BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PGE,20Dec2015,Pacific,N,"58,844","58,797","46,004","-23,510",,,,,,,,,,"-18,593","-4,917",,,,,,,,,,,,,,,
PGE,21Dec2015,Pacific,N,"63,300","62,810","44,980","-29,007",,,,,,,,,,"-24,026","-4,979",,,,,,,,,,,,,,,
PGE,22Dec2015,Pacific,N,"64,481","63,590","48,717","-26,030",,,,,,,,,,"-21,612","-4,418",,,,,,,,,,,,,,,
PGE,23Dec2015,Pacific,N,"65,678","65,351","43,598","-31,999",,,,,,,,,,"-27,550","-4,449",,,,,,,,,,,,,,,
PGE,24Dec2015,Pacific,N,"64,843","63,083","44,276","-29,166",,,,,,,,,,"-24,665","-4,501",,,,,,,,,,,,,,,
PGE,25Dec2015,Pacific,N,"59,051","58,419","43,903","-24,980",,,,,,,,,,"-21,312","-3,667",,,,,,,,,,,,,,,
PGE,26Dec2015,Pacific,N,"63,382","61,344","44,872","-27,276",,,,,,,,,,"-23,188","-4,089",,,,,,,,,,,,,,,
PGE,27Dec2015,Pacific,N,"63,038","62,468","46,705","-27,220",,,,,,,,,,"-23,000","-4,220",,,,,,,,,,,,,,,
PGE,28Dec2015,Pacific,N,"66,673","65,892","46,161","-31,111",,,,,,,,,,"-26,461","-4,650",,,,,,,,,,,,,,,
PGE,29Dec2015,Pacific,N,"66,709","65,449","49,804","-27,079",,,,,,,,,,"-22,685","-4,394",,,,,,,,,,,,,,,
PGE,30Dec2015,Pacific,N,"67,281","67,138","51,600","-27,085",,,,,,,,,,"-22,723","-4,362",,,,,,,,,,,,,,,
PGE,31Dec2015,Pacific,N,"66,279","67,862","49,739","-29,657",,,,,,,,,,"-25,038","-4,619",,,,,,,,,,,,,,,
PGE,01Jan2016,Pacific,N,"62,891","65,669","47,729","-29,309",,,,,,,,,,"-24,950","-4,359",,,,,,,,,,,,,,,
PGE,02Jan2016,Pacific,N,"66,094","68,642","48,344","-31,621",,,,,,,,,,"-27,296","-4,325",,,,,,,,,,,,,,,
