BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GVL,18Dec2015,Eastern,N,"4,342","4,602","3,176","-1,425",,,,,,,,,,-41,"-1,383",,,,,,,,,,,,,,,
GVL,19Dec2015,Eastern,N,"4,663","4,635","3,173","-1,462",,,,,,,,,,143,"-1,607",,,,,,,,,,,,,,,
GVL,20Dec2015,Eastern,N,"4,663","4,626","2,691","-1,933",,,,,,,,,,-259,"-1,677",,,,,,,,,,,,,,,
GVL,21Dec2015,Eastern,N,"4,431","4,518","2,599","-1,917",,,,,,,,,,-415,"-1,507",,,,,,,,,,,,,,,
GVL,22Dec2015,Eastern,N,"4,348","4,726","3,097","-1,634",,,,,,,,,,-33,"-1,600",,,,,,,,,,,,,,,
GVL,23Dec2015,Eastern,N,"4,696","4,837","3,083","-1,750",,,,,,,,,,-69,"-1,683",,,,,,,,,,,,,,,
GVL,24Dec2015,Eastern,N,"4,342","5,004","3,158","-1,844",,,,,,,,,,-205,"-1,638",,,,,,,,,,,,,,,
GVL,25Dec2015,Eastern,N,"4,663","4,700","3,252","-1,451",,,,,,,,,,19,"-1,467",,,,,,,,,,,,,,,
GVL,26Dec2015,Eastern,N,"4,663","4,727","3,281","-1,448",,,,,,,,,,-36,"-1,412",,,,,,,,,,,,,,,
GVL,27Dec2015,Eastern,N,"4,431","4,852","3,251","-1,599",,,,,,,,,,-104,"-1,496",,,,,,,,,,,,,,,
GVL,28Dec2015,Eastern,N,"4,348","5,125","3,161","-1,965",,,,,,,,,,-465,"-1,501",,,,,,,,,,,,,,,
GVL,29Dec2015,Eastern,N,"4,696","4,998","3,130","-1,869",,,,,,,,,,-335,"-1,534",,,,,,,,,,,,,,,
GVL,30Dec2015,Eastern,N,"4,696","5,099","3,096","-2,006",,,,,,,,,,-496,"-1,512",,,,,,,,,,,,,,,
GVL,31Dec2015,Eastern,N,"4,529","5,108","3,198","-1,911",,,,,,,,,,-395,"-1,514",,,,,,,,,,,,,,,
GVL,01Jan2016,Eastern,N,"4,048","4,538","3,165","-1,373",,,,,,,,,,-192,"-1,180",,,,,,,,,,,,,,,
GVL,02Jan2016,Eastern,N,"4,302","4,073","3,019","-1,054",,,,,,,,,,135,"-1,188",,,,,,,,,,,,,,,
GVL,03Jan2016,Eastern,N,"4,192","4,600","3,152","-1,448",,,,,,,,,,-43,"-1,402",,,,,,,,,,,,,,,
GVL,04Jan2016,Eastern,N,"4,654","5,019","3,184","-1,835",,,,,,,,,,-401,"-1,435",,,,,,,,,,,,,,,
GVL,05Jan2016,Eastern,N,"4,648","5,542","4,554",-989,,,,,,,,,,91,"-1,073",,,,,,,,,,,,,,,
GVL,06Jan2016,Eastern,N,"4,337","5,288","5,272",-18,,,,,,,,,,498,-513,,,,,,,,,,,,,,,
GVL,07Jan2016,Eastern,N,"5,759","4,870","4,738",-130,,,,,,,,,,483,-617,,,,,,,,,,,,,,,
GVL,08Jan2016,Eastern,N,"5,807","4,549","4,516",-30,,,,,,,,,,512,-544,,,,,,,,,,,,,,,
GVL,09Jan2016,Eastern,N,"4,686","4,280","2,546","-1,734",,,,,,,,,,-777,-957,,,,,,,,,,,,,,,
GVL,10Jan2016,Eastern,N,"5,645","4,327","2,933","-1,392",,,,,,,,,,-547,-843,,,,,,,,,,,,,,,
GVL,11Jan2016,Eastern,N,"6,277","5,580","4,072","-1,503",,,,,,,,,,-946,-561,,,,,,,,,,,,,,,
GVL,12Jan2016,Eastern,N,"6,000","6,117","4,275","-1,843",,,,,,,,,,-915,-925,,,,,,,,,,,,,,,
GVL,13Jan2016,Eastern,N,"5,540","5,782","3,697","-2,086",,,,,,,,,,"-1,125",-961,,,,,,,,,,,,,,,
GVL,14Jan2016,Eastern,N,"5,059","5,720","4,347","-1,369",,,,,,,,,,-655,-714,,,,,,,,,,,,,,,
GVL,15Jan2016,Eastern,N,"4,832","4,619","2,746","-1,878",,,,,,,,,,-917,-956,,,,,,,,,,,,,,,
GVL,16Jan2016,Eastern,N,"4,826","4,312","3,552",-757,,,,,,,,,,-108,-653,,,,,,,,,,,,,,,
GVL,17Jan2016,Eastern,N,"4,583","4,376","3,927",-450,,,,,,,,,,281,-728,,,,,,,,,,,,,,,
GVL,18Jan2016,Eastern,N,"4,186","5,640","4,586","-1,053",,,,,,,,,,-132,-922,,,,,,,,,,,,,,,
GVL,19Jan2016,Eastern,N,"4,493","6,355","5,369",-986,,,,,,,,,,-581,-407,,,,,,,,,,,,,,,
GVL,20Jan2016,Eastern,N,"5,488","6,452","5,475",-977,,,,,,,,,,-212,-766,,,,,,,,,,,,,,,
GVL,21Jan2016,Eastern,N,"5,649","5,475","5,083",-392,,,,,,,,,,51,-443,,,,,,,,,,,,,,,
GVL,22Jan2016,Eastern,N,"5,556","4,763","4,584",-181,,,,,,,,,,299,-480,,,,,,,,,,,,,,,
GVL,23Jan2016,Eastern,N,"5,509","6,157","5,938",-220,,,,,,,,,,179,-399,,,,,,,,,,,,,,,
GVL,24Jan2016,Eastern,N,"5,319","6,628","6,188",-442,,,,,,,,,,99,-539,,,,,,,,,,,,,,,
GVL,25Jan2016,Eastern,N,"4,533","6,263","5,394",-872,,,,,,,,,,-111,-760,,,,,,,,,,,,,,,
GVL,26Jan2016,Eastern,N,"4,568","4,946","4,809",-137,,,,,,,,,,564,-703,,,,,,,,,,,,,,,
GVL,27Jan2016,Eastern,N,"4,486","4,577","4,310",-265,,,,,,,,,,133,-400,,,,,,,,,,,,,,,
GVL,28Jan2016,Eastern,N,"5,423","4,657","4,358",-299,,,,,,,,,,22,-317,,,,,,,,,,,,,,,
