BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,IESO,ISNE,PJM,Subregion ZONF,Subregion ZONC,Subregion ZONI,Subregion ZONB,Subregion ZONG,Subregion ZONK,Subregion ZONH,Subregion ZONE,Subregion ZONJ,Subregion ZOND,Subregion ZONA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NYIS,12Sep2015,Eastern,N,"436,981","438,836","357,130","-81,706",,,,,,,,,,"-33,181","-17,625","7,075","-37,975",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,13Sep2015,Eastern,N,"410,163","419,024","363,973","-55,051",,,,,,,,,,"-28,121","-10,525","15,576","-31,980",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,14Sep2015,Eastern,N,"430,024","421,746","391,017","-30,729",,,,,,,,,,"-27,318",739,"21,327","-25,476",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,15Sep2015,Eastern,N,"439,256","445,772","388,592","-57,180",,,,,,,,,,"-28,626","5,906","-3,973","-30,485",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,16Sep2015,Eastern,N,"454,376","476,400","408,616","-67,784",,,,,,,,,,"-30,924","6,528","-4,950","-38,434",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,17Sep2015,Eastern,N,"464,026","493,362","416,540","-76,822",,,,,,,,,,"-33,261","3,745","-2,297","-45,004",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,18Sep2015,Eastern,N,"461,754","490,273","415,861","-74,412",,,,,,,,,,"-33,135","-2,643","11,358","-49,989",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,19Sep2015,Eastern,N,"429,701","456,696","388,344","-68,352",,,,,,,,,,"-34,803","-10,671","19,709","-42,362",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,20Sep2015,Eastern,N,"395,810","413,448","341,204","-72,244",,,,,,,,,,"-34,704","-14,023","12,525","-36,051",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,21Sep2015,Eastern,N,"420,337","417,630","356,288","-61,342",,,,,,,,,,"-34,182","-3,303","9,318","-33,158",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,22Sep2015,Eastern,N,"420,827","417,931","362,227","-55,704",,,,,,,,,,"-32,996","3,364","8,790","-34,863",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,23Sep2015,Eastern,N,"422,687","420,085","355,951","-64,134",,,,,,,,,,"-34,819","-3,719","7,667","-33,257",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,24Sep2015,Eastern,N,"428,558","432,671","370,008","-62,663",,,,,,,,,,"-34,750",168,"3,601","-31,682",,,,,,,,,,,,,,,,,,,,,,,,,,
