BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SCL,31Oct2015,Pacific,N,"24,320","24,938","14,346","-10,277",,,,,,,,,,"-9,883",-442,,,,,,,,,,,,,,,
SCL,01Nov2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCL,02Nov2015,Pacific,N,"27,670","27,809","15,576","-11,895",,,,,,,,,,"-10,578","-1,341",,,,,,,,,,,,,,,
SCL,03Nov2015,Pacific,N,"28,320","28,656","14,870","-13,459",,,,,,,,,,"-11,674","-1,836",,,,,,,,,,,,,,,
SCL,04Nov2015,Pacific,N,"28,392","28,101","14,961","-12,839",,,,,,,,,,"-11,578","-1,317",,,,,,,,,,,,,,,
SCL,05Nov2015,Pacific,N,"27,180","27,410","14,349","-12,739",,,,,,,,,,"-11,622","-1,165",,,,,,,,,,,,,,,
SCL,06Nov2015,Pacific,N,"27,905","27,718","16,001","-11,396",,,,,,,,,,"-9,927","-1,524",,,,,,,,,,,,,,,
SCL,07Nov2015,Pacific,N,"25,999","25,863","13,320","-12,232",,,,,,,,,,"-10,482","-1,813",,,,,,,,,,,,,,,
SCL,08Nov2015,Pacific,N,"25,339","25,028","12,525","-12,207",,,,,,,,,,"-11,005","-1,262",,,,,,,,,,,,,,,
SCL,09Nov2015,Pacific,N,"27,632","27,605","15,750","-11,478",,,,,,,,,,"-10,342","-1,196",,,,,,,,,,,,,,,
SCL,10Nov2015,Pacific,N,"28,045","27,941","14,699","-12,946",,,,,,,,,,"-12,000","-1,005",,,,,,,,,,,,,,,
SCL,11Nov2015,Pacific,N,"28,045","27,286","14,580","-12,397",,,,,,,,,,"-12,009",-446,,,,,,,,,,,,,,,
SCL,12Nov2015,Pacific,N,"27,865","28,633","15,987","-12,360",,,,,,,,,,"-11,421",-992,,,,,,,,,,,,,,,
SCL,13Nov2015,Pacific,N,"27,115","27,263","14,653","-12,326",,,,,,,,,,"-10,430","-1,955",,,,,,,,,,,,,,,
SCL,14Nov2015,Pacific,N,"24,870","26,255","16,215","-9,776",,,,,,,,,,"-9,137",-700,,,,,,,,,,,,,,,
SCL,15Nov2015,Pacific,N,"26,200","27,113","12,816","-14,011",,,,,,,,,,"-13,663",-410,,,,,,,,,,,,,,,
