BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,PJM,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
OVEC,19Oct2015,Eastern,N,"1,920","2,071","20,210","18,139",,,,,,,,,,"-5,982","24,121",,,,,,,,,,,,,,,
OVEC,20Oct2015,Eastern,N,"2,136","2,091","19,984","17,893",,,,,,,,,,"-6,975","24,868",,,,,,,,,,,,,,,
OVEC,21Oct2015,Eastern,N,"2,160","2,122","18,705","16,583",,,,,,,,,,"-7,129","23,714",,,,,,,,,,,,,,,
OVEC,22Oct2015,Eastern,N,"2,184","2,059","19,528","17,469",,,,,,,,,,"-7,185","24,655",,,,,,,,,,,,,,,
OVEC,23Oct2015,Eastern,N,"2,136","2,031","16,756","14,725",,,,,,,,,,"-9,345","24,070",,,,,,,,,,,,,,,
OVEC,24Oct2015,Eastern,N,"2,112","1,672","11,048","9,376",,,,,,,,,,"-2,887","12,263",,,,,,,,,,,,,,,
OVEC,25Oct2015,Eastern,N,"1,728","1,297","9,063","7,766",,,,,,,,,,"-3,553","11,319",,,,,,,,,,,,,,,
OVEC,26Oct2015,Eastern,N,"1,344","1,435","7,969","6,534",,,,,,,,,,"-6,567","13,101",,,,,,,,,,,,,,,
OVEC,27Oct2015,Eastern,N,"1,464","1,805","10,758","8,953",,,,,,,,,,"-7,005","15,958",,,,,,,,,,,,,,,
OVEC,28Oct2015,Eastern,N,"1,872","1,799","12,582","10,783",,,,,,,,,,"-6,686","17,469",,,,,,,,,,,,,,,
OVEC,29Oct2015,Eastern,N,"1,872","1,623","12,927","11,304",,,,,,,,,,"-4,247","15,551",,,,,,,,,,,,,,,
OVEC,30Oct2015,Eastern,N,"1,680","1,641","14,559","12,918",,,,,,,,,,"-4,040","17,001",,,,,,,,,,,,,,,
OVEC,31Oct2015,Eastern,N,"1,704","1,494","6,961","5,467",,,,,,,,,,"-1,801","7,268",,,,,,,,,,,,,,,
OVEC,01Nov2015,Eastern,N,"1,625","1,395","6,449","5,054",,,,,,,,,,"-2,372","7,426",,,,,,,,,,,,,,,
OVEC,02Nov2015,Eastern,N,,"1,427","9,231",,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,03Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,04Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,05Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,06Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,07Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,08Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,09Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,10Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,11Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,12Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,13Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,14Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,15Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,16Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,17Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,18Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,19Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,20Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,21Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,22Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,23Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,24Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,25Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,26Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,27Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,28Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,29Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,30Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,01Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,02Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,03Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,04Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,05Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,06Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,07Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,08Dec2015,Eastern,N,,"1,617","13,287",,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,09Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,10Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,11Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,12Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,13Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,14Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,15Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,16Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,17Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,18Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,19Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,20Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,21Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,22Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,23Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,24Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,25Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,26Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,27Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,28Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,29Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,30Dec2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,31Dec2015,Eastern,N,,,,,,,,,,,,,,"-6,096","12,972",,,,,,,,,,,,,,,
OVEC,01Jan2016,Eastern,N,,"1,920","10,638","9,161",,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,02Jan2016,Eastern,N,"1,920","1,920","10,711",,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,03Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,04Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,05Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,06Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,07Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,08Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,09Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,10Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,11Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,12Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,13Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,14Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,15Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,16Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,17Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,18Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,19Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,20Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,21Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,22Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,23Jan2016,Eastern,N,,"2,403","26,574",,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,24Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,25Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,26Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,27Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,28Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,29Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,30Jan2016,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
